MM_A_LENGTH,MM_B_LENGTH,sharpe_ratio,cumulative_return,annualized_return,annualized_volatility,max_drawdown,success
4,4,0.11095750408505105,0.047731589991167,0.00467549085442287,0.042137671471404195,-0.07780397548453322,True
3,3,0.11095750408505105,0.047731589991167,0.00467549085442287,0.042137671471404195,-0.07780397548453322,True
5,5,0.11095750408505105,0.047731589991167,0.00467549085442287,0.042137671471404195,-0.07780397548453322,True
6,6,0.11095750408505105,0.047731589991167,0.00467549085442287,0.042137671471404195,-0.07780397548453322,True
7,7,0.11095750408505105,0.047731589991167,0.00467549085442287,0.042137671471404195,-0.07780397548453322,True
8,8,0.11095750408505105,0.047731589991167,0.00467549085442287,0.042137671471404195,-0.07780397548453322,True
9,9,0.11095750408505105,0.047731589991167,0.00467549085442287,0.042137671471404195,-0.07780397548453322,True
10,10,0.11095750408505105,0.047731589991167,0.00467549085442287,0.042137671471404195,-0.07780397548453322,True
11,11,0.11095750408505105,0.047731589991167,0.00467549085442287,0.042137671471404195,-0.07780397548453322,True
12,12,0.11095750408505105,0.047731589991167,0.00467549085442287,0.042137671471404195,-0.07780397548453322,True
13,13,0.11095750408505105,0.047731589991167,0.00467549085442287,0.042137671471404195,-0.07780397548453322,True
14,14,0.11095750408505105,0.047731589991167,0.00467549085442287,0.042137671471404195,-0.07780397548453322,True
15,15,0.11095750408505105,0.047731589991167,0.00467549085442287,0.042137671471404195,-0.07780397548453322,True
9,7,0.10141494180053812,0.08567663846575413,0.008257512315298365,0.08142303460114543,-0.17027950372025547,True
8,7,0.10076706433935748,0.08428390766514493,0.008128044639087229,0.0806617191080815,-0.156947726418612,True
19,14,0.0941074639539547,0.08054218842314298,0.007779473369152523,0.08266584861917964,-0.13622950025432135,True
13,2,0.0919040282769631,0.0776251903846823,0.007506977179769558,0.08168278714776724,-0.16121049749603344,True
9,3,0.08672343244617532,0.07214005481342256,0.006992771520043961,0.08063301143418196,-0.14987822739769752,True
18,12,0.08636306953420096,0.07384560364922876,0.007152911838485876,0.08282373330481525,-0.16411232713924329,True
8,6,0.08487937815335142,0.06976024710671758,0.006768938969417437,0.07974774458394367,-0.1570345920276457,True
17,14,0.08457964562306973,0.07200431867399648,0.006980016902493391,0.08252596533213115,-0.1546396907036931,True
16,15,0.07947827910529684,0.06740301447273866,0.006546787505974594,0.0823720339654194,-0.1503080336478818,True
20,13,0.0764028539794806,0.06540923781933072,0.006358544119100529,0.08322390837400176,-0.16463943425469985,True
19,13,0.07219000487989417,0.0617192262283055,0.006009311993383504,0.0832429919263958,-0.15460123280018012,True
9,8,0.06851183616693736,0.05708381321123057,0.0055690533772898565,0.08128600383326738,-0.14997822810522976,True
9,6,0.06254702388026279,0.05092195874662031,0.004981119948346047,0.07963800096838626,-0.16796112904489235,True
7,5,0.06038984169321259,0.04951834584720993,0.004846760469332301,0.0802578767130142,-0.15190993668182595,True
11,10,0.05893598887302282,0.04907769045217214,0.004804545805698002,0.08152142515245417,-0.1858263687242827,True
18,13,0.044071534270751354,0.03725445279924067,0.0036658823365030013,0.08318027491354917,-0.15521753684660655,True
20,14,0.04387432965340545,0.036932815255885876,0.003634743414820729,0.08284442049677235,-0.1580608868095138,True
19,12,0.042151396889259195,0.03558702617448173,0.0035043582414246988,0.08313741655185007,-0.18267095478181672,True
20,12,0.03703348012927512,0.031349520943021014,0.0030928142413140236,0.08351400490901047,-0.18541116262032886,True
10,2,0.02687350690297353,0.021729730160191085,0.0021528679849789345,0.08011116646412536,-0.18951077528468063,True
11,2,0.025356457015614592,0.0205841562333946,0.002040404212172442,0.08046882144914623,-0.14923220523458802,True
18,14,0.024953284891474713,0.020790559597484437,0.0020606757192123126,0.0825813406200617,-0.16788340555955727,True
18,15,0.023690966222223917,0.019654651684351654,0.0019490689763785873,0.08227055655291143,-0.17092796225327267,True
19,15,0.019492927043865,0.016175564195626713,0.001606539471512347,0.08241653333525263,-0.15971097583005645,True
20,15,0.011124759342778394,0.009240943908291,0.0009206394556495745,0.08275589855768026,-0.17562372230629353,True
